Title,Subject,Grade,Board,FileURL,Description
Physics English Medium 2025-26 Class 9,Physics,9,PCTB (Punjab Curriculum & Textbook Board),https://drive.google.com/file/d/14TEL4poDp5vvAP7JZ3dYXJ4U_9fPexm3/preview,Official PCTB Physics English Medium 2025-26 Class 9 e-book / textbook.
Chemistry English Medium 2025-26 Class 9,Chemistry,9,PCTB (Punjab Curriculum & Textbook Board),https://drive.google.com/file/d/1OY1Unpm8VkLCGQfbLFrE8wLn3fzXmZpc/preview,Official PCTB Chemistry English Medium 2025-26 Class 9 e-book / textbook.
Computer Science English Medium 2025-26 Class 9,Computer Science,9,PCTB (Punjab Curriculum & Textbook Board),https://drive.google.com/file/d/1K9AWmNIjYFUNWE_F8JkELmlEkZO9Ms85/preview,Official PCTB Computer Science English Medium 2025-26 Class 9 e-book / textbook.
Biology English Medium 2025-26 Class 9,Biology,9,PCTB (Punjab Curriculum & Textbook Board),https://drive.google.com/file/d/1rH5qC3FM12nPcH1zIVbm25tMKWxMv-3P/preview,Official PCTB Biology English Medium 2025-26 Class 9 e-book / textbook.
Physics Practical Videos Class 9,Physics,9,PCTB (Punjab Curriculum & Textbook Board),https://www.elearn.gov.pk/elearn_app/chapters/39,Official PCTB Physics Practical Videos Class 9 e-book / textbook.
Chemistry Practical Videos Class 9,Chemistry,9,PCTB (Punjab Curriculum & Textbook Board),https://www.elearn.gov.pk/elearn_app/chapters/41,Official PCTB Chemistry Practical Videos Class 9 e-book / textbook.
Biology Practical Videos Class 9,Biology,9,PCTB (Punjab Curriculum & Textbook Board),https://www.elearn.gov.pk/elearn_app/chapters/43,Official PCTB Biology Practical Videos Class 9 e-book / textbook.
Bio Tech Urdu Medium Class 9,Biology,9,PCTB (Punjab Curriculum & Textbook Board),https://drive.google.com/file/d/18hKlhb7UJUDtIsn5Q_tNgz321h93PDN9/preview,Official PCTB Bio Tech Urdu Medium Class 9 e-book / textbook.
Bio Tech English Medium Class 9,Biology,9,PCTB (Punjab Curriculum & Textbook Board),https://drive.google.com/file/d/1I9F9tqWqaGBndZSR3DzyaBtsG1ImpU5l/preview,Official PCTB Bio Tech English Medium Class 9 e-book / textbook.
General Science Tech Class 9,General Science,9,PCTB (Punjab Curriculum & Textbook Board),https://drive.google.com/file/d/1y-R2gAB30M3D9dOPfNiITyVs_HZHFYmN/preview,Official PCTB General Science Tech Class 9 e-book / textbook.
Computer and Entrepreneur Tech Urdu Medium Class 9,Computer Science,9,PCTB (Punjab Curriculum & Textbook Board),https://drive.google.com/file/d/1hTYUZQT9RmTDPDBCGfRpPsXwN_J4bSIN/preview,Official PCTB Computer and Entrepreneur Tech Urdu Medium Class 9 e-book / textbook.
Chemistry Tech English Medium Class 9,Chemistry,9,PCTB (Punjab Curriculum & Textbook Board),https://drive.google.com/file/d/1h9xTQfWHhyVKMTT6oXyc86JIBVH3YecN/preview,Official PCTB Chemistry Tech English Medium Class 9 e-book / textbook.
Chemistry Tech Urdu Medium Class 9,Chemistry,9,PCTB (Punjab Curriculum & Textbook Board),https://drive.google.com/file/d/1W4H3cekH01iGPuFrpypdAnfsUTic-NRe/preview,Official PCTB Chemistry Tech Urdu Medium Class 9 e-book / textbook.
Computer Tech Urdu Medium Class 9,Computer Science,9,PCTB (Punjab Curriculum & Textbook Board),https://drive.google.com/file/d/15YupqrqcYE10xX8-A_uf3a_mEDKvGBHA/preview,Official PCTB Computer Tech Urdu Medium Class 9 e-book / textbook.
General Science Tech Urdu Medium Class 9,Urdu,9,PCTB (Punjab Curriculum & Textbook Board),https://drive.google.com/file/d/1M1rpSVxAW1CmqGkjxKlkMccMklrbK-NU/preview,Official PCTB General Science Tech Urdu Medium Class 9 e-book / textbook.
Agriculture Science Tech English Medium Class 9,English,9,PCTB (Punjab Curriculum & Textbook Board),https://drive.google.com/file/d/1l0VrqpNpeU2wTe2dn8wybuNWr9DDa32D/preview,Official PCTB Agriculture Science Tech English Medium Class 9 e-book / textbook.
Communication Skills Tech Class 9,General,9,PCTB (Punjab Curriculum & Textbook Board),https://drive.google.com/file/d/1Zvc7OuZLU7K3NJlBAsItESw6QCwLTZs-/preview,Official PCTB Communication Skills Tech Class 9 e-book / textbook.
Fashion Design Tech 2025 Class 9,General,9,PCTB (Punjab Curriculum & Textbook Board),https://drive.google.com/file/d/1FBo8CD6rbbFDKJLzYSggRycinmZOTRgS/preview,Official PCTB Fashion Design Tech 2025 Class 9 e-book / textbook.
ICT Tech Class 9,Computer Science,9,PCTB (Punjab Curriculum & Textbook Board),https://drive.google.com/file/d/1VC3YVN_XfwM8O1TGnUUcXqVXbDFeKbkM/preview,Official PCTB ICT Tech Class 9 e-book / textbook.
Health Sciences Tech Class 9,General Science,9,PCTB (Punjab Curriculum & Textbook Board),https://drive.google.com/file/d/1WCBIfuzuY3Un3ZLTl9A58RWElBcx1RFG/preview,Official PCTB Health Sciences Tech Class 9 e-book / textbook.
Physics Tech English Medium Class 9,Physics,9,PCTB (Punjab Curriculum & Textbook Board),https://drive.google.com/file/d/1xYy8pSLJ_izsnvaI72PczXvpeMJ9rZnI/preview,Official PCTB Physics Tech English Medium Class 9 e-book / textbook.
Physics Tech Urdu Medium Class 9,Physics,9,PCTB (Punjab Curriculum & Textbook Board),https://drive.google.com/file/d/1UlVvG_U8v2iRZLXmJiOLTBB_opTbflFp/preview,Official PCTB Physics Tech Urdu Medium Class 9 e-book / textbook.
TARJUMA-TUL-QURAN-UL MAJEED Class 10,Islamic Studies,10,PCTB (Punjab Curriculum & Textbook Board),https://drive.google.com/file/d/1DMkY84-p4zsQbjKzyGcsTxIXsMGDxOeM/preview,Official PCTB TARJUMA-TUL-QURAN-UL MAJEED Class 10 e-book / textbook.
Math (Sc) English Medium 2020 Class 10,Mathematics,10,PCTB (Punjab Curriculum & Textbook Board),https://drive.google.com/file/d/1qdbKbuuHT80byq6gO1i6l6konU0lAoDW/preview,Official PCTB Math (Sc) English Medium 2020 Class 10 e-book / textbook.
Math (Sc) Urdu Medium 2020 Class 10,Mathematics,10,PCTB (Punjab Curriculum & Textbook Board),https://drive.google.com/file/d/1jOIZC6B2lSPDofjH23274YfAbn9hTtnf/preview,Official PCTB Math (Sc) Urdu Medium 2020 Class 10 e-book / textbook.
General Math Urdu Medium 2020 Class 10,Mathematics,10,PCTB (Punjab Curriculum & Textbook Board),https://drive.google.com/file/d/1cL9VeSnJ7xnjyQw7UFCT299ayQ2auTrP/preview,Official PCTB General Math Urdu Medium 2020 Class 10 e-book / textbook.
General Math English Medium 2020 Class 10,Mathematics,10,PCTB (Punjab Curriculum & Textbook Board),https://drive.google.com/file/d/182-BwJNJbj479S8hhJYhwZBAX91Wtww_/preview,Official PCTB General Math English Medium 2020 Class 10 e-book / textbook.
Physics English Medium Class 10,Physics,10,PCTB (Punjab Curriculum & Textbook Board),https://drive.google.com/file/d/1ZUhUAkGyAxbVAWIWNF6G3m1q4HTWk604/preview,Official PCTB Physics English Medium Class 10 e-book / textbook.
Chemistry English Medium Class 10,Chemistry,10,PCTB (Punjab Curriculum & Textbook Board),https://drive.google.com/file/d/1Dc3uLt6sUFRPqOeIiHpGKkubOMPOxsz5/preview,Official PCTB Chemistry English Medium Class 10 e-book / textbook.
Biology Urdu Medium 2020 Class 10,Biology,10,PCTB (Punjab Curriculum & Textbook Board),https://drive.google.com/file/d/14MARLXThhqecaUPsESYmf8qmRyYG73DX/preview,Official PCTB Biology Urdu Medium 2020 Class 10 e-book / textbook.
Biology English Medium 2020 Class 10,Biology,10,PCTB (Punjab Curriculum & Textbook Board),https://drive.google.com/file/d/1_ZseEY6DSDJZ70bY-xwzNcvDt27jJ3fY/preview,Official PCTB Biology English Medium 2020 Class 10 e-book / textbook.
Computer Science English Medium Class 10,Computer Science,10,PCTB (Punjab Curriculum & Textbook Board),https://drive.google.com/file/d/1yKlB9hKd9tkz00xkmnNhzPD75mTYDzuF/preview,Official PCTB Computer Science English Medium Class 10 e-book / textbook.
Computer Science Urdu Medium 2023-24 Class 10,Computer Science,10,PCTB (Punjab Curriculum & Textbook Board),https://drive.google.com/file/d/1IAobikFrUu0aZ7nGGYVdVb6OAtDjzPVd/preview,Official PCTB Computer Science Urdu Medium 2023-24 Class 10 e-book / textbook.
Urdu (Compulsory) Class 10,Urdu,10,PCTB (Punjab Curriculum & Textbook Board),https://drive.google.com/file/d/18tSuH5M7a5QSarmm-hkIggxImtSp6M73/preview,Official PCTB Urdu (Compulsory) Class 10 e-book / textbook.
Pakistan Studies English Medium 2020 Class 10,English,10,PCTB (Punjab Curriculum & Textbook Board),https://drive.google.com/file/d/1vy_li04BE3Yir-Q4FO9waNiDfDkGZfu9/preview,Official PCTB Pakistan Studies English Medium 2020 Class 10 e-book / textbook.
Pakistan Studies Urdu Medium 2020 Class 10,Urdu,10,PCTB (Punjab Curriculum & Textbook Board),https://drive.google.com/file/d/16fzxuMNoh-kTUp-HaqE0UVZaHs238zqv/preview,Official PCTB Pakistan Studies Urdu Medium 2020 Class 10 e-book / textbook.
Akhlaqiat 10 2023-24 Class 10,Ethics,10,PCTB (Punjab Curriculum & Textbook Board),https://drive.google.com/file/d/1WySlT2PhoDU-Ulym-UBArfsC3SM7BUb-/preview,Official PCTB Akhlaqiat 10 2023-24 Class 10 e-book / textbook.
Islamiat SNC 2023-24 Class 10,Islamic Studies,10,PCTB (Punjab Curriculum & Textbook Board),https://drive.google.com/file/d/17pwBhL5Zcr19mcEZwa0hXuG62SYC-YfV/preview,Official PCTB Islamiat SNC 2023-24 Class 10 e-book / textbook.
PNB Computer English Medium 2023-24 Class 10,Computer Science,10,PCTB (Punjab Curriculum & Textbook Board),https://drive.google.com/file/d/1-tzDf85nCABrHeekXGjn_qct91lXBYh3/preview,Official PCTB PNB Computer English Medium 2023-24 Class 10 e-book / textbook.
PNB Computer Urdu Medium 2023-24 Class 10,Computer Science,10,PCTB (Punjab Curriculum & Textbook Board),https://drive.google.com/file/d/1BkTP_gSYlznl_JRImGS2zzhp3mGyGqRc/preview,Official PCTB PNB Computer Urdu Medium 2023-24 Class 10 e-book / textbook.
Pakistan Studies Urdu Medium 2023-24 Class 10,Urdu,10,PCTB (Punjab Curriculum & Textbook Board),https://drive.google.com/file/d/1IWhnJsWp1kxcR1RN386Klibmf05ghKQB/preview,Official PCTB Pakistan Studies Urdu Medium 2023-24 Class 10 e-book / textbook.
Pakistan Studies English Medium 2023-24 Class 10,English,10,PCTB (Punjab Curriculum & Textbook Board),https://drive.google.com/file/d/1yjFhk8BTHqZ0DCfxvfTZ-zPtVJi4hjkQ/preview,Official PCTB Pakistan Studies English Medium 2023-24 Class 10 e-book / textbook.
English Class 10,English,10,PCTB (Punjab Curriculum & Textbook Board),https://drive.google.com/file/d/11dohkOXSikmxJgGomYBo1TdAMfaMoPnV/preview,Official PCTB English Class 10 e-book / textbook.
Ghiza aur Ghizayat Class 10,Home Economics,10,PCTB (Punjab Curriculum & Textbook Board),https://drive.google.com/file/d/1A5RbcMqd5tb4HSPJg5ETcgs7IVQecUx-/preview,Official PCTB Ghiza aur Ghizayat Class 10 e-book / textbook.
Parcha Bafi (Textile and Clothing) Class 10,Home Economics,10,PCTB (Punjab Curriculum & Textbook Board),https://drive.google.com/file/d/1LxyHrI2fqsr6-m3iWNlexjWc9nkfwnux/preview,Official PCTB Parcha Bafi (Textile and Clothing) Class 10 e-book / textbook.
ART & Modal Drawing Urdu Medium 2023-24 Class 10,Urdu,10,PCTB (Punjab Curriculum & Textbook Board),https://drive.google.com/file/d/1yye9z82IEmvjDJn6f_jfaTMID-SRVRgd/preview,Official PCTB ART & Modal Drawing Urdu Medium 2023-24 Class 10 e-book / textbook.
ART & Modal Drawing English Medium 2023-24 Class 10,English,10,PCTB (Punjab Curriculum & Textbook Board),https://drive.google.com/file/d/1Ll9B5qkF-NgIvlgFfEAx43kvWO6rB6Pu/preview,Official PCTB ART & Modal Drawing English Medium 2023-24 Class 10 e-book / textbook.
Home Economics Class 10,Economics,10,PCTB (Punjab Curriculum & Textbook Board),https://drive.google.com/file/d/1TamTuKze5G_2tswXBKInc7MKryRW9M8B/preview,Official PCTB Home Economics Class 10 e-book / textbook.
PNB Biology English Medium 2023-24 Class 10,Biology,10,PCTB (Punjab Curriculum & Textbook Board),https://drive.google.com/file/d/1MSsmh0Xk9wMTnDA8jLmBrPqjFyFSvkyj/preview,Official PCTB PNB Biology English Medium 2023-24 Class 10 e-book / textbook.
PNB Biology Urdu Medium 2023-24 Class 10,Biology,10,PCTB (Punjab Curriculum & Textbook Board),https://drive.google.com/file/d/12xMYh8slEsmRNU5PP9owi7zN2Kn3lzzX/preview,Official PCTB PNB Biology Urdu Medium 2023-24 Class 10 e-book / textbook.
PNB Chemistry English Medium 2023-24 Class 10,Chemistry,10,PCTB (Punjab Curriculum & Textbook Board),https://drive.google.com/file/d/1Y5DC_JWiBwAheN3xtTkpIdpC90BldS-4/preview,Official PCTB PNB Chemistry English Medium 2023-24 Class 10 e-book / textbook.
PNB Chemistry Urdu Medium 2023-24 Class 10,Chemistry,10,PCTB (Punjab Curriculum & Textbook Board),https://drive.google.com/file/d/1LGLaEAcutMZ9y6ZoKPQzoiGAji9C2Ta6/preview,Official PCTB PNB Chemistry Urdu Medium 2023-24 Class 10 e-book / textbook.
PNB Physics English Medium 2023-24 Class 10,Physics,10,PCTB (Punjab Curriculum & Textbook Board),https://drive.google.com/file/d/1a-PO8F8qtOHhF8HLeWOCpPM9FFG1M9yZ/preview,Official PCTB PNB Physics English Medium 2023-24 Class 10 e-book / textbook.
PNB Physics Urdu Medium 2023-24 Class 10,Physics,10,PCTB (Punjab Curriculum & Textbook Board),https://drive.google.com/file/d/17rtfHf3vy57EuCmxMpH5R8yJhLxcnoaS/preview,Official PCTB PNB Physics Urdu Medium 2023-24 Class 10 e-book / textbook.
Physics Practical Video Class 10,Physics,10,PCTB (Punjab Curriculum & Textbook Board),https://www.elearn.gov.pk/elearn_app/chapters/40,Official PCTB Physics Practical Video Class 10 e-book / textbook.
Chemistry Practical Video Class 10,Chemistry,10,PCTB (Punjab Curriculum & Textbook Board),https://www.elearn.gov.pk/elearn_app/chapters/42,Official PCTB Chemistry Practical Video Class 10 e-book / textbook.
Biology Practical Video Class 10,Biology,10,PCTB (Punjab Curriculum & Textbook Board),https://www.elearn.gov.pk/elearn_app/chapters/44,Official PCTB Biology Practical Video Class 10 e-book / textbook.
Farsi for Classes 9 and 10,Persian,9,PCTB (Punjab Curriculum & Textbook Board),https://drive.google.com/file/d/1x7_YccQIBcR1Txz9noSfcOWGxNfIyBfh/preview,Official PCTB Farsi for Classes 9 and 10 e-book / textbook.
General Science English Medium for Classes 9 and 10,English,9,PCTB (Punjab Curriculum & Textbook Board),https://drive.google.com/file/d/1JpqDG39mhcFxq0cx1pRfx3_lLR6xwsLs/preview,Official PCTB General Science English Medium for Classes 9 and 10 e-book / textbook.
General Science Urdu Medium for Classes 9 and 10,Urdu,9,PCTB (Punjab Curriculum & Textbook Board),https://drive.google.com/file/d/1kX5PVHh8f2u9r_gUIGewxh2T_xSl3P_e/preview,Official PCTB General Science Urdu Medium for Classes 9 and 10 e-book / textbook.
English Grammar and Composition for Classes 9 and 10 (2023–24),English,9,PCTB (Punjab Curriculum & Textbook Board),https://drive.google.com/file/d/1SOthleP3bosiOobT5Zwbi0Ceq7J091pc/preview,Official PCTB English Grammar and Composition for Classes 9 and 10 (2023–24) e-book / textbook.
Urdu Quaid-e-Insha 2023–24 for Classes 9 and 10,Urdu,9,PCTB (Punjab Curriculum & Textbook Board),https://drive.google.com/file/d/18jrYqapYhunZykdWTX4Yl5js8RtCk2Bq/preview,Official PCTB Urdu Quaid-e-Insha 2023–24 for Classes 9 and 10 e-book / textbook.
Economics Urdu Medium 2023–24 for Classes 9 and 10,Urdu,9,PCTB (Punjab Curriculum & Textbook Board),https://drive.google.com/file/d/1TYeS-sLBmy1PbZNAQb1v2C2kDgZ4INeK/preview,Official PCTB Economics Urdu Medium 2023–24 for Classes 9 and 10 e-book / textbook.
Economics English Medium 2023–24 for Classes 9 and 10,English,9,PCTB (Punjab Curriculum & Textbook Board),https://drive.google.com/file/d/1TDtLr6-Tb7_qXUHfBbJQarir-MDgHPuK/preview,Official PCTB Economics English Medium 2023–24 for Classes 9 and 10 e-book / textbook.
Punjabi Ikhtari for Classes 9 and 10,Punjabi,9,PCTB (Punjab Curriculum & Textbook Board),https://drive.google.com/file/d/1jJSG3eMqZRpKHF_-elqDg6zO1ku4zlMQ/preview,Official PCTB Punjabi Ikhtari for Classes 9 and 10 e-book / textbook.
Zari Taleem for Classes 9 and 10,Education,9,PCTB (Punjab Curriculum & Textbook Board),https://drive.google.com/file/d/1olRc_30qz47M71FFmdPS4Sfkjc9iITQX/preview,Official PCTB Zari Taleem for Classes 9 and 10 e-book / textbook.
Health & Physical [Education for Classes 9 and 10,Physics,9,PCTB (Punjab Curriculum & Textbook Board),https://drive.google.com/file/d/17ZwO06Cr3qvzeSwIT_gu6qaLx_sFqWo_/preview,Official PCTB Health & Physical [Education for Classes 9 and 10 e-book / textbook.
Civics Urdu Medium 2023–24 for Classes 9 and 10,Urdu,9,PCTB (Punjab Curriculum & Textbook Board),https://drive.google.com/file/d/117Ixwo3MPOEWOVILaHsRGT5-xfS8hswG/preview,Official PCTB Civics Urdu Medium 2023–24 for Classes 9 and 10 e-book / textbook.
Model Paper Islamiyat 2024 Class 9,Islamic Studies,9,PCTB (Punjab Curriculum & Textbook Board),https://pctb.punjab.gov.pk/system/files/Model%20Paper%20Islamiat%209%202024%20watermark.pdf,Official PCTB Model Paper Islamiyat 2024 Class 9 e-book / textbook.
TARJUMA-TUL-QURAN-UL MAJEED Class 11,Islamic Studies,11,PCTB (Punjab Curriculum & Textbook Board),https://drive.google.com/file/d/13-5E7OTI7SXT_n8n3JVr2w1FoA-3YC5k/preview,Official PCTB TARJUMA-TUL-QURAN-UL MAJEED Class 11 e-book / textbook.
Islamiat Urdu Medium 2023–24 Class 11,Urdu,11,PCTB (Punjab Curriculum & Textbook Board),https://drive.google.com/file/d/1vzB0IOxkuFyV-oBRtMLcORg-9zeA2AvK/preview,Official PCTB Islamiat Urdu Medium 2023–24 Class 11 e-book / textbook.
Physical Geography (Tabai) Class 11,Physics,11,PCTB (Punjab Curriculum & Textbook Board),https://drive.google.com/file/d/1MsR3fBJ96z96-wkLsf4d7EbWOP2mY73L/preview,Official PCTB Physical Geography (Tabai) Class 11 e-book / textbook.
Urdu 2020 Class 11,Urdu,11,PCTB (Punjab Curriculum & Textbook Board),https://drive.google.com/file/d/1RbV-xNcr1EQWCq-vFLhEPQOvKR-ypou2/preview,Official PCTB Urdu 2020 Class 11 e-book / textbook.
English Book I (Short Stories) 2020 Class 11,English,11,PCTB (Punjab Curriculum & Textbook Board),https://drive.google.com/file/d/1UZWpMZqDULa2LQxOxmS2Kx9xmt9MhpmR/preview,Official PCTB English Book I (Short Stories) 2020 Class 11 e-book / textbook.
English Book III 2020 Class 11,English,11,PCTB (Punjab Curriculum & Textbook Board),https://drive.google.com/file/d/1CKOaS_Xdhif0nCBuN3odRADszw4kxnou/preview,Official PCTB English Book III 2020 Class 11 e-book / textbook.
Math 2020 Class 11,Mathematics,11,PCTB (Punjab Curriculum & Textbook Board),https://drive.google.com/file/d/12ZwmEwOKAAqPg58uUmkC5xU2zrqYtHtl/preview,Official PCTB Math 2020 Class 11 e-book / textbook.
Physics Class 11,Physics,11,PCTB (Punjab Curriculum & Textbook Board),https://drive.google.com/file/d/15BNgMeeVTOKT7hgUYR95UhP89JjXkB3y/preview,Official PCTB Physics Class 11 e-book / textbook.
Islamiat Urdu Medium 2020 Class 11,Urdu,11,PCTB (Punjab Curriculum & Textbook Board),https://drive.google.com/file/d/1OwT0DGdQUunbTVq8mc4raZgzZeVj8qLn/preview,Official PCTB Islamiat Urdu Medium 2020 Class 11 e-book / textbook.
Economics Class 11,Economics,11,PCTB (Punjab Curriculum & Textbook Board),https://drive.google.com/file/d/1TyV2p2dxexTpbTvL-PqK5kLfn2XmSD6A/preview,Official PCTB Economics Class 11 e-book / textbook.
Statistics 2020 Class 11,Statistics,11,PCTB (Punjab Curriculum & Textbook Board),https://drive.google.com/file/d/12-qoGhuUvsLkBHSCQ-JJuDe9Do62FT3a/preview,Official PCTB Statistics 2020 Class 11 e-book / textbook.
Biology English Medium 2020 Class 11,Biology,11,PCTB (Punjab Curriculum & Textbook Board),https://drive.google.com/file/d/1SEsJqSF5DrFcXm9v7OvJX0tXIFmkdWkH/preview,Official PCTB Biology English Medium 2020 Class 11 e-book / textbook.
Chemistry English Medium 2020 Class 11,Chemistry,11,PCTB (Punjab Curriculum & Textbook Board),https://drive.google.com/file/d/1qug6abtqmdOBhtFzZwviLrkggMq9svLQ/preview,Official PCTB Chemistry English Medium 2020 Class 11 e-book / textbook.
Computer Science Class 11,Computer Science,11,PCTB (Punjab Curriculum & Textbook Board),https://drive.google.com/file/d/1A_fvlHW-N2aBMH6XiYHkgJfmCcc4y-BZ/preview,Official PCTB Computer Science Class 11 e-book / textbook.
Civics 2023–24 Class 11,Civics,11,PCTB (Punjab Curriculum & Textbook Board),https://drive.google.com/file/d/14uhOVjM1vc7uPc7qv-k6lUNDwUo1v5-K/preview,Official PCTB Civics 2023–24 Class 11 e-book / textbook.
Punjabi Ikhtiari (Adab Khazeeny) 2020 Class 11,Punjabi,11,PCTB (Punjab Curriculum & Textbook Board),https://drive.google.com/file/d/1WUraJ-KY41PRDW0SyDN_qmf45rOxyHeG/preview,Official PCTB Punjabi Ikhtiari (Adab Khazeeny) 2020 Class 11 e-book / textbook.
Ilm-ul-Taleem Class 11,Education,11,PCTB (Punjab Curriculum & Textbook Board),https://pctb.punjab.gov.pk/system/files/2018-G11-ILM%20UL%20TALEEM-UM.pdf,Official PCTB Ilm-ul-Taleem Class 11 e-book / textbook.
Farsi 2020 Class 11,Persian,11,PCTB (Punjab Curriculum & Textbook Board),https://drive.google.com/file/d/1e_KZXg31XUKV12V37nbNXQjCr4agJU_Y/preview,Official PCTB Farsi 2020 Class 11 e-book / textbook.
"Hadiqat-ul-Adab, Arabic Elective (Juiz-ul-Awal) 2020 Class 11",Arabic,11,PCTB (Punjab Curriculum & Textbook Board),https://drive.google.com/file/d/19JImHJJNJgLU3jpDJmkZjMu4_M_LNcBP/preview,"Official PCTB Hadiqat-ul-Adab, Arabic Elective (Juiz-ul-Awal) 2020 Class 11 e-book / textbook."
Mubadiyat Falsfa 2020 Class 11,General,11,PCTB (Punjab Curriculum & Textbook Board),https://drive.google.com/file/d/12G6aUkM5TOozIylymiOGVhag5ST_lrgP/preview,Official PCTB Mubadiyat Falsfa 2020 Class 11 e-book / textbook.
Psychology (Nafsiyat) Urdu Medium 2020 Class 11,Urdu,11,PCTB (Punjab Curriculum & Textbook Board),https://drive.google.com/file/d/1Nkedemd417cLWoNL488eufMLdtqxohk3/preview,Official PCTB Psychology (Nafsiyat) Urdu Medium 2020 Class 11 e-book / textbook.
Muraqa-e-Adab 2020 Class 11,Arabic,11,PCTB (Punjab Curriculum & Textbook Board),https://drive.google.com/file/d/1Q3K2yvzsELPsLDUMk_OfILJMjwWHiTT_/preview,Official PCTB Muraqa-e-Adab 2020 Class 11 e-book / textbook.
ILM-UL-TALEEM Urdu Medium Class 11,Urdu,11,PCTB (Punjab Curriculum & Textbook Board),https://drive.google.com/file/d/1aLZM3juxqvFbXFpv11MVLWuhaLwe86g-/preview,Official PCTB ILM-UL-TALEEM Urdu Medium Class 11 e-book / textbook.
Akhlaqiat Class 11 2023–24,Ethics,11,PCTB (Punjab Curriculum & Textbook Board),https://drive.google.com/file/d/1FlWT8Xwn9aYVQLcUltNyI5o5nmXMQmrp/preview,Official PCTB Akhlaqiat Class 11 2023–24 e-book / textbook.
TARJUMA-TUL-QURAN-UL MAJEED Class 12,Islamic Studies,12,PCTB (Punjab Curriculum & Textbook Board),https://drive.google.com/file/d/1BYO3WE1_zdfx3xdTEtz6h83eTsLfBPdY/preview,Official PCTB TARJUMA-TUL-QURAN-UL MAJEED Class 12 e-book / textbook.
Human Geography (Insani) Class 12,Geography,12,PCTB (Punjab Curriculum & Textbook Board),https://drive.google.com/file/d/1KKzcZDp6GR3Jqs3PGDfHmwomU9bwJz5h/preview,Official PCTB Human Geography (Insani) Class 12 e-book / textbook.
Urdu 2020 Class 12,Urdu,12,PCTB (Punjab Curriculum & Textbook Board),https://drive.google.com/file/d/11xFErLIzGIuQgZDShaBLbpkoE2cQxNjz/preview,Official PCTB Urdu 2020 Class 12 e-book / textbook.
Pakstudy Urdu Medium Class 12,Urdu,12,PCTB (Punjab Curriculum & Textbook Board),https://drive.google.com/file/d/1p3SUuTOCLqAIOEGbSJdmjDlp7KHIO_0f/preview,Official PCTB Pakstudy Urdu Medium Class 12 e-book / textbook.
Pakstudy English Medium 2023–24 Class 12,English,12,PCTB (Punjab Curriculum & Textbook Board),https://drive.google.com/file/d/10yBVAqMslJgrVPyW7QEbSOHwekpukJNJ/preview,Official PCTB Pakstudy English Medium 2023–24 Class 12 e-book / textbook.
Chemistry English Medium 2020 Class 12,Chemistry,12,PCTB (Punjab Curriculum & Textbook Board),https://drive.google.com/file/d/1_3_fJt9AWxRP7AQEmvhVb8n6rOOlqv3q/preview,Official PCTB Chemistry English Medium 2020 Class 12 e-book / textbook.
Mr. Chips Class 12,English,12,PCTB (Punjab Curriculum & Textbook Board),https://drive.google.com/file/d/1juK6D7Z8G9el_ndHbdXqgruDU75tVFH6/preview,Official PCTB Mr. Chips Class 12 e-book / textbook.
English Book II 2020 Class 12,English,12,PCTB (Punjab Curriculum & Textbook Board),https://drive.google.com/file/d/1Nm-dlT0jwgFSVKaKJ6wuGGkj_naMKfsQ/preview,Official PCTB English Book II 2020 Class 12 e-book / textbook.
Biology English Medium 2020 Class 12,Biology,12,PCTB (Punjab Curriculum & Textbook Board),https://drive.google.com/file/d/1PQMrP44cXssuI1OJDCPE1YPz4dhwi_sY/preview,Official PCTB Biology English Medium 2020 Class 12 e-book / textbook.
Math 2020 Class 12,Mathematics,12,PCTB (Punjab Curriculum & Textbook Board),https://drive.google.com/file/d/1WDl6Vy0FQ4A10-qyYg6cipaaniWI9CIB/preview,Official PCTB Math 2020 Class 12 e-book / textbook.
Civics 2023–24 Class 12,Civics,12,PCTB (Punjab Curriculum & Textbook Board),https://drive.google.com/file/d/1alJkhKZwl1xcxl067mwF64qUCWUZ1qIM/preview,Official PCTB Civics 2023–24 Class 12 e-book / textbook.
Economics Class 12,Economics,12,PCTB (Punjab Curriculum & Textbook Board),https://drive.google.com/file/d/1hpdlUNGLZn6LPFIawwUlB3apxin2P6EU/preview,Official PCTB Economics Class 12 e-book / textbook.
Computer Science Class 12,Computer Science,12,PCTB (Punjab Curriculum & Textbook Board),https://drive.google.com/file/d/1cb7vS2EPLxdBJw_JWifjXZB1NriBoRJB/preview,Official PCTB Computer Science Class 12 e-book / textbook.
Statistics 2020 Class 12,Statistics,12,PCTB (Punjab Curriculum & Textbook Board),https://drive.google.com/file/d/1OfKr3W7ysNLubV4pJT3Rcbzu566mRd_w/preview,Official PCTB Statistics 2020 Class 12 e-book / textbook.
Physics 2022 Class 12,Physics,12,PCTB (Punjab Curriculum & Textbook Board),https://pctb.punjab.gov.pk/system/files/G12-PHYSICS%20r.pdf,Official PCTB Physics 2022 Class 12 e-book / textbook.
Farsi 2020 Class 12,Persian,12,PCTB (Punjab Curriculum & Textbook Board),https://drive.google.com/file/d/1oIRalghgA3KlU9G-Hayzq23W80Dzr-Hj/preview,Official PCTB Farsi 2020 Class 12 e-book / textbook.
